Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
Acer,Notebook,Windows,AMD,AMD,4,2.1,0,3.0,0.0,0.256,136.7948717948718,24029.28
HP,Notebook,No,Intel,Intel,4,1.86,0,1.6,0.5,0.0,136.7948717948718,13799.52
HP,Notebook,Windows,Intel,Intel,8,1.63,0,1.6,1.0,0.0,214.28571428571428,43263.36
Asus,Notebook,Windows,AMD,AMD,4,1.65,0,1.5,0.0,0.064,152.42857142857142,14811.3072
Dell,Notebook,Windows,Intel,AMD,16,2.8,0,1.8,2.0,0.256,173.41040462427745,74378.87999999999
HP,Notebook,Windows,Intel,Intel,8,2.5,0,1.6,0.0,0.256,173.41040462427745,49443.84
Dell,Notebook,Windows,Intel,AMD,8,2.36,0,2.5,1.0,0.0,136.7948717948718,34045.3872
Dell,Notebook,Windows,Intel,AMD,4,2.2,0,2.0,1.0,0.0,192.30769230769232,23922.72
Acer,Ultrabook,Windows,Intel,Intel,8,1.6,0,1.8,0.0,0.256,214.28571428571428,47099.52
Acer,Notebook,Windows,Intel,Nvidia,4,2.2,0,2.7,0.0,0.256,192.30769230769232,30476.16
HP,Notebook,Windows,Intel,Intel,8,2.05,0,2.7,1.0,0.0,136.7948717948718,31861.44
HP,Notebook,Windows,Intel,Intel,8,1.63,0,1.8,0.0,0.256,214.28571428571428,52640.64
Lenovo,Notebook,No,Intel,Intel,4,1.9,0,1.1,1.0,0.0,136.7948717948718,13445.7408
Asus,Gaming,Windows,Intel,Nvidia,8,3.0,0,2.5,1.0,0.128,173.41040462427745,49976.64
Lenovo,Notebook,No,Intel,Nvidia,4,2.2,0,2.5,1.0,0.0,192.30769230769232,26586.72
HP,Notebook,Windows,Intel,Intel,4,1.32,0,2.5,0.0,0.256,225.56390977443607,37242.72
Acer,Notebook,Windows,Intel,Nvidia,4,3.0,0,2.7,1.0,0.0,173.41040462427745,34898.4
Lenovo,Notebook,Windows,Intel,AMD,8,1.75,0,1.6,0.0,0.256,214.28571428571428,59461.5456
Lenovo,Gaming,No,Intel,Nvidia,8,2.4,0,2.8,0.0,0.256,192.30769230769232,46300.32
Toshiba,Notebook,Windows,Intel,Intel,4,2.1,0,2.3,0.5,0.0,136.7948717948718,32074.56
HP,Notebook,Windows,AMD,AMD,4,1.86,0,2.5,0.0,0.256,136.7948717948718,19660.32
Asus,Ultrabook,Windows,Intel,Intel,8,1.25,0,1.8,0.0,0.256,214.28571428571428,58554.72
HP,Ultrabook,Windows,Intel,Intel,8,0.97,1,1.2,0.0,0.512,480.0,107305.92
Asus,Notebook,Windows,Intel,Intel,4,2.0,0,1.1,1.0,0.0,192.30769230769232,18328.32
MSI,Gaming,Windows,Intel,Nvidia,16,2.9,0,2.8,1.0,0.256,173.41040462427745,108105.12
Acer,Notebook,Windows,Intel,Intel,4,2.1,0,2.0,1.0,0.0,136.7948717948718,23816.16
Dell,Gaming,Windows,Intel,Nvidia,16,2.56,0,2.8,0.0,0.512,192.30769230769232,66560.5728
Dell,Gaming,Windows,Intel,Nvidia,8,2.62,0,2.8,0.0,0.0,192.30769230769232,47898.72
Lenovo,Notebook,Windows,Intel,Intel,4,1.9,0,2.5,0.0,0.128,136.7948717948718,26533.44
MSI,Gaming,Windows,Intel,Nvidia,16,2.8,0,2.8,1.0,0.256,173.41040462427745,100699.2
HP,Ultrabook,Windows,Intel,Intel,4,1.48,0,2.7,0.0,0.256,214.28571428571428,57648.96
HP,Notebook,Windows,Intel,AMD,6,1.91,0,1.6,0.0,0.256,192.30769230769232,32980.32
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,4,1.74,1,2.4,0.0,0.256,214.28571428571428,33513.119999999995
Asus,2 in 1 Convertible,Windows,Intel,Intel,8,1.1,1,1.6,0.0,0.256,225.56390977443607,70063.2
Dell,2 in 1 Convertible,Windows,Intel,Intel,8,1.56,1,1.8,0.0,0.256,192.30769230769232,55890.72
Toshiba,Notebook,Windows,Intel,Intel,4,2.1,0,2.2,0.5,0.0,136.7948717948718,23816.16
Asus,Notebook,Windows,AMD,AMD,4,2.03,0,3.0,1.0,0.0,136.7948717948718,21471.84
Acer,Notebook,Windows,Intel,Nvidia,4,3.0,0,1.6,0.0,0.256,173.41040462427745,42890.4
Dell,Notebook,Windows,Intel,AMD,8,2.13,0,1.6,0.0,0.256,192.30769230769232,38787.84
Lenovo,Gaming,Windows,Intel,Nvidia,16,2.5,0,2.8,0.0,0.256,192.30769230769232,57489.12
Acer,Notebook,Windows,Intel,Intel,4,2.1,0,1.1,1.0,0.0,136.7948717948718,18541.44
MSI,Gaming,Windows,Intel,Nvidia,16,2.4,0,2.8,1.0,0.256,192.30769230769232,95850.72
Acer,Notebook,Windows,Intel,Intel,4,2.1,0,1.1,1.0,0.0,136.7948717948718,19367.8128
Dell,Gaming,Windows,Intel,Nvidia,8,2.56,0,2.8,1.0,0.128,192.30769230769232,56502.9072
Acer,Notebook,Windows,Intel,Nvidia,8,3.0,0,1.6,0.0,0.256,173.41040462427745,45501.12
HP,Notebook,Windows,Intel,Intel,4,1.49,0,1.6,0.5,0.0,225.56390977443607,40173.12
others,Ultrabook,Windows,Intel,Intel,8,1.05,0,2.5,0.0,0.256,276.9230769230769,71874.72
HP,Notebook,Windows,Intel,AMD,6,2.71,0,2.5,2.0,0.0,173.41040462427745,37242.72
Lenovo,Notebook,No,AMD,AMD,4,2.2,0,2.9,0.5,0.0,136.7948717948718,16463.52
Toshiba,Notebook,Windows,Intel,Intel,4,2.0,0,2.4,0.5,0.0,136.7948717948718,26053.92
HP,Notebook,Windows,Intel,Nvidia,8,2.5,0,1.6,0.0,0.256,173.41040462427745,49177.44
Dell,Notebook,Windows,Intel,Intel,8,2.3,0,2.4,1.0,0.0,136.7948717948718,24455.52
Acer,Notebook,Windows,Intel,Intel,4,2.1,0,2.0,0.0,0.128,136.7948717948718,23922.72
